"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL(L/h)","V2 (L)","KA","WT on CL","WT on V","Q (L/h)","V3 (L)","alag1","age on CL","bili","alt","tras","cap","age on V","keto","age on Ka","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","SIGMA(2,2)","seCL(L/h)","seV2 (L)","seKA","seWT on CL","seWT on V","seQ (L/h)","seV3 (L)","sealag1","seage on CL","sebili","sealt","setras","secap","seage on V","seketo","seage on Ka","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","seSIGMA(2,2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21"
20,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:06:31,385.36,0,47851.2867613304,192.97,4250.9,0.375757,0.428497,0.525108,60.5896,1411.37,0.713912,-0.123898,-0.0620016,-0.0160736,0.901144,0.862482,1.43638,0.148983,1.2394,0.194639,0.637821,0.689042,0.107996,0.452682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,1,1,0,1,0,0,0,0,0,0,3.4,NA,FOCE_I,0:24:51,402.88,1078.55,49339.7239007799,196.517,4227.86,0.403822,0.286071,0.405071,52.8654,1680.97,0.746997,-0.140029,-0.00103107,0.0239064,0.89929,1.03702,1.38668,0.151625,1.42346,0.18466,0.743329,0.972341,0.105362,0.800685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,1,0,0,0,0,1,36,1,6,0,NA,NA,FOCE_I,0:44:22,2650.89,0,50171.3196369695,193.976,4340.51,0.409258,0.374978,0.290681,56.9677,1325.84,0.717352,-0.0913459,0.0197319,0.0786771,0.882252,1.0217,1.71348,0.170751,1.52866,0.205592,0.622837,0.613004,0.110462,2.20173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,1,1,0,0,1,0,3,1,0,0,3.2,NA,FOCE_I,0:06:23,375.48,0,48939.0437528145,188.685,4072.18,0.386503,0.517554,0.514453,56.0442,1793.98,0.720235,-0.164627,0.031557,0.0846419,1.79278,0.981039,1.7513,0.15015,1.47823,0.187668,0.52539,0.691616,0.107311,0.000269559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,1,0,0,0,0,1,0,0,2,0,0.7,NA,FOCE_I,0:23:02,1375.37,0,49353.7143782144,197.039,3946.28,0.284734,0.328101,0.501913,67.87,1433.57,0.718196,-0.152645,-0.010102,0.0168964,0.539683,0.833133,1.58379,0.163274,1.17731,0.190625,0.689523,0.569195,0.109097,0.67842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,1,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,0:08:03,472.96,0,48671.1901160226,184.732,4307.42,0.383445,0.415916,0.532565,43.7144,1321.12,0.735865,-0.162745,-0.0455179,-0.0101659,1.3554,0.988691,1.88245,0.169334,1.50646,0.179921,0.656259,0.765092,0.102564,2.99658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,1,1,0,1,0,0,0,0,0,0,3.3,NA,FOCE_I,0:23:58,372.12,1057.17,48889.9440717997,201.247,4502.11,0.406379,0.503031,0.537142,52.3805,1429.47,0.751718,-0.0354523,0.00463471,0.0266646,0.630752,0.760039,1.60646,0.154356,1.42737,0.208339,0.653898,0.752826,0.106006,1.78608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,1,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,0:10:41,629.88,0,49019.5959155717,196.436,4060.47,0.373758,0.400234,0.741689,60.5158,1426.57,0.718482,-0.0681152,0.0334589,0.0644421,0.851059,0.922957,1.78796,0.172556,1.40602,0.201423,0.514557,0.686241,0.108907,2.07206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1,1,0,0,0,0,1,0,0,1,0,2.7,NA,FOCE_I,0:06:18,371.84,0,48630.3352988452,194.896,4889.72,0.387766,0.519079,0.277177,47.0341,2072.9,0.74449,-0.0504927,-0.00541592,0.0628142,0.518581,1.03677,1.68373,0.158305,1.30626,0.192745,0.696992,0.792961,0.104125,2.93673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,1,1,1,0,0,0,0,0,0,0,3.4,275.059,FOCE_I,0:24:26,404.33,1051.2,49226.1542395962,186.676,4151.29,0.37907,0.281577,0.201175,60.8956,1341.34,0.730573,-0.180724,0.0163876,0.0544784,0.827075,1.00706,1.46894,0.187007,1.33546,0.189146,0.577842,0.669112,0.112803,2.27572,5.16671,326.012,0.0574861,0.169544,0.182242,5.22486,128.241,0.0209568,0.0636966,0.0296602,0.1446,0.225967,0.0775324,0.169323,0.021531,0.21946,0.0135969,0.0705159,0.0929226,0.00483152,1.14911,NA,NA,NA,NA,0.0215676,0.0295723,0.0934783,0.133626,0.165621,0.204962,0.269002,0.343889,0.455983,0.569884,0.668214,0.687624,0.839221,0.933038,1.01256,1.09315,1.18446,1.25117,2.52446,2.58616,5.93236
